nohup: ignoring input
Query 1: s=1084755, t=4912229... Graph (reordered by Region): n=6789958, m=20190920, Regions=128, Queries=100
[Init] kernel_1(init residual/excess)=4.337 ms, kernel_7(preflow)=0.024 ms
Iteration 0: init_hl=0.108 ms, bfs=31.827 ms, push_relabel=0.141 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.150 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 1: init_hl=0.052 ms, bfs=0.009 ms, push_relabel=0.071 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 2: init_hl=0.033 ms, bfs=0.009 ms, push_relabel=0.069 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 3: init_hl=0.031 ms, bfs=0.008 ms, push_relabel=0.071 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 4: init_hl=0.033 ms, bfs=0.009 ms, push_relabel=0.069 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 5: init_hl=0.032 ms, bfs=0.008 ms, push_relabel=0.071 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 6: init_hl=0.033 ms, bfs=0.009 ms, push_relabel=0.070 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 7: init_hl=0.033 ms, bfs=0.008 ms, push_relabel=0.974 ms (K=4, mode=path-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 8: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.064 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=2, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 9: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.066 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=2, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 10: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.065 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=2, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 11: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.065 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=2, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 12: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.064 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=2, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 13: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.064 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=2, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 14: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.065 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=2, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 15: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=1.019 ms (K=4, mode=path-aware, deeppath=256), remove_invalid=0.000 ms, active=2, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 16: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.067 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=2, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 17: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.063 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=2, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 18: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.062 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=2, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 19: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.063 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=2, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 20: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.061 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=2, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 21: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.063 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=2, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 22: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.064 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=2, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 23: init_hl=0.000 ms, bfs=0.000 ms, push_relabel=0.904 ms (K=4, mode=path-aware, deeppath=256), remove_invalid=0.000 ms, active=2, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 24: init_hl=0.034 ms, bfs=0.008 ms, push_relabel=0.070 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 25: init_hl=0.034 ms, bfs=0.008 ms, push_relabel=0.071 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 26: init_hl=0.033 ms, bfs=0.008 ms, push_relabel=0.070 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 27: init_hl=0.032 ms, bfs=0.008 ms, push_relabel=0.071 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 28: init_hl=0.034 ms, bfs=0.008 ms, push_relabel=0.070 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 29: init_hl=0.033 ms, bfs=0.007 ms, push_relabel=0.071 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 30: init_hl=0.033 ms, bfs=0.008 ms, push_relabel=0.070 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 31: init_hl=0.033 ms, bfs=0.008 ms, push_relabel=0.752 ms (K=4, mode=path-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 32: init_hl=0.034 ms, bfs=0.008 ms, push_relabel=0.071 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 33: init_hl=0.032 ms, bfs=0.008 ms, push_relabel=0.069 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

Iteration 34: init_hl=0.033 ms, bfs=0.008 ms, push_relabel=0.070 ms (K=4, mode=active-aware, deeppath=256), remove_invalid=0.000 ms, active=1, active_high=0, fixed_edges=0, GR_FREQ0=64

